serialNo,City,Brand,Model,Price/Unit,Quantity,Amount,Date,RAM,Internal Memory
23,Delhi,Brand 9,Model 352,1600,1,1526,9/30/2020,,
24,Delhi,Brand 10,Model 293,1600,1,1361,9/28/2020,Feature1_4,
25,Delhi,Brand 9,Model 193,1450,1,1450,9/27/2020,,
14,Chennai,Brand 1,Model 197,11990,1,11990,9/29/2020,Feature1_3,Feature2_2
15,Chennai,Brand 1,Model 91,14499,1,14499,9/28/2020,Feature1_3,Feature2_2
15,Chennai,Brand 7,Model 281,18499,1,18499,9/28/2020,Feature1_9,Feature2_3
16,Chennai,Brand 5,Model 291,10490,1,10490,9/27/2020,Feature1_1,Feature2_1
2108,Kolkata,Brand 7,Model 186,750,1,750,10/1/2020,Feature1_11,
30,Lucknow,Brand 7,Model 191,7950,1,7950,10/1/2020,Feature1_8,Feature2_1
2109,Kolkata,Brand 4,Model 66,5999,1,5999,10/1/2020,Feature1_8,Feature2_1
2063,Delhi,Brand 1,Model 89,1175,1,1175,10/1/2020,Feature1_6,
2064,Delhi,Brand 2,Model 144,1175,1,1175,10/1/2020,Feature1_6,
16,Kolkata,Brand 6,Model 67,1000,1,9700,10/1/2020,Feature1_1,Feature2_2
64,Delhi,Brand 2,Model 1,4500,1,4500,9/27/2020,Feature1_10,Feature2_5
18,Kolkata,Brand 2,Model 2,950,1,9700,9/27/2020,Feature1_1,Feature2_2
413,Kolkata,Brand 4,Model 566,2799,1,9700,10/1/2020,Feature1_1,Feature2_2
39,Delhi,Brand 2,Model 69,1100,1,1245,9/28/2020,Feature1_15,
40,Delhi,Brand 7,Model 280,1550,1,1526,9/29/2020,,
41,Delhi,Brand 7,Model 199,1450,1,1450,9/30/2020,,
42,Delhi,Brand 7,Model 71,1600,1,1526,10/1/2020,,
71,Delhi,Brand 8,Model 183,7990,1,7990,9/27/2020,Feature1_1,Feature2_1
72,Delhi,Brand 1,Model 295,8990,1,8990,10/1/2020,Feature1_8,Feature2_1
31,Lucknow,Brand 5,Model 320,1600,1,1410,10/1/2020,Feature1_6,
33,Lucknow,Brand 9,Model 209,950,1,14500,10/1/2020,Feature1_3,Feature2_2
23,Delhi,Brand 10,Model 43,1600,1,1526,10/1/2020,,
24,Delhi,Brand 5,Model 325,850,1,799,10/1/2020,Feature1_11,
25,Delhi,Brand 7,Model 224,1600,1,1526,9/30/2020,,
26,Delhi,Brand 5,Model 567,1250,1,1250,9/28/2020,Feature1_15,
31,Delhi,Brand 9,Model 225,1650,1,1650,9/29/2020,,
37,Delhi,Brand 2,Model 103,8500,1,8500,10/1/2020,Feature1_8,Feature2_1
1204,Delhi,Brand 9,Model 569,7999,1,7999,9/27/2020,Feature1_8,Feature2_1
1205,Delhi,Brand 3,Model 127,1400,1,1400,9/28/2020,Feature1_16,
1206,Delhi,Brand 1,Model 570,9500,1,9500,9/29/2020,Feature1_8,Feature2_1
1207,Delhi,Brand 7,Model 71,10400,1,10400,9/30/2020,Feature1_3,Feature2_2
38,Delhi,Brand 1,Model 315,1150,1,1066,10/1/2020,Feature1_4,
314,Delhi,Brand 10,Model 226,1600,1,1600,9/29/2020,Feature1_17,
35,Lucknow,Brand 1,Model 89,900,1,900,10/1/2020,Feature1_6,
342,Kolkata,Brand 7,Model 119,8300,1,8300,10/1/2020,Feature1_1,Feature2_1
35,Delhi,Brand 7,Model 277,1200,1,1200,10/1/2020,Feature1_16,
315,Delhi,Brand 8,Model 131,1133,10,11330,10/1/2020,,
2110,Kolkata,Brand 8,Model 49,2300,1,11000,10/1/2020,Feature1_3,Feature2_2
1,Delhi,Brand 5,Model 90,13500,1,13500,10/1/2020,Feature1_3,Feature2_3
316,Delhi,Brand 1,Model 68,7000,1,7000,10/1/2020,Feature1_8,Feature2_1
2421,Delhi,Brand 9,Model 356,1400,1,1400,10/1/2020,Feature1_4,
34,Delhi,Brand 10,Model 145,1250,1,1250,10/1/2020,Feature1_13,
3,Kolkata,Brand 2,Model 3,1400,1,11000,10/1/2020,Feature1_3,Feature2_2
27,Lucknow,Brand 8,Model 202,1600,1,1410,10/1/2020,Feature1_6,
28,Lucknow,Brand 5,Model 357,1500,1,1410,10/1/2020,Feature1_6,
2111,Kolkata,Brand 5,Model 146,1750,1,11000,10/1/2020,Feature1_3,Feature2_2
29,Lucknow,Brand 6,Model 227,900,1,900,10/1/2020,Feature1_6,
20,Lucknow,Brand 1,Model 65,1600,1,1410,10/1/2020,Feature1_6,
33,Lucknow,Brand 3,Model 141,950,1,14500,10/1/2020,Feature1_3,Feature2_2
34,Lucknow,Brand 4,Model 34,950,1,14500,10/1/2020,Feature1_3,Feature2_2
64,Delhi,Brand 6,Model 47,1100,1,1100,10/1/2020,,
5326,Delhi,Brand 1,Model 88,1280,1,1280,10/1/2020,Feature1_4,
216,Ahmedabad,Brand 4,Model 41,20999,1,20999,10/1/2020,Feature1_9,Feature2_3
35,Lucknow,Brand 1,Model 297,950,1,14500,10/1/2020,Feature1_3,Feature2_2
56,Lucknow,Brand 9,Model 225,1600,1,1410,10/1/2020,Feature1_6,
48,Lucknow,Brand 9,Model 132,1600,1,14500,10/1/2020,Feature1_3,Feature2_2
6700541,Kolkata,Brand 9,Model 215,2249,1,2249,10/1/2020,Feature1_17,
15,Chennai,Brand 1,Model 361,1420,1,1399,10/1/2020,Feature1_16,
26,Lucknow,Brand 1,Model 88,1300,1,14500,10/1/2020,Feature1_3,Feature2_2
19,Lucknow,Brand 9,Model 296,12500,1,12500,10/1/2020,Feature1_3,Feature2_2
30,Chennai,Brand 1,Model 104,7499,1,7499,10/1/2020,Feature1_8,Feature2_1
31,Chennai,Brand 9,Model 363,10990,1,10990,9/30/2020,Feature1_3,Feature2_2
21,Lucknow,Brand 7,Model 224,1000,1,14500,10/1/2020,Feature1_3,Feature2_2
57,Kolkata,Brand 4,Model 44,1300,1,11000,10/1/2020,Feature1_3,Feature2_2
40,Lucknow,Brand 2,Model 69,1400,1,1119,9/27/2020,Feature1_11,
32,Chennai,Brand 9,Model 228,9999,1,9999,9/29/2020,Feature1_8,Feature2_1
16,Ludhiana,Brand 1,Model 29,7500,1,13499,10/1/2020,Feature1_8,Feature2_4
17,Ludhiana,Brand 6,Model 14,8000,1,13499,10/1/2020,Feature1_8,Feature2_4
42,Ahmedabad,Brand 7,Model 330,1450,1,1450,9/29/2020,,
74,Thiruvananthapuram,Brand 6,Model 67,1662,1,1662,10/1/2020,Feature1_16,
53,Delhi,Brand 7,Model 346,1600,1,1600,10/1/2020,,
33,Chennai,Brand 1,Model 29,8590,1,8590,9/28/2020,Feature1_8,Feature2_1
34,Lucknow,Brand 2,Model 2,1100,1,14500,9/27/2020,Feature1_3,Feature2_2
54,Delhi,Brand 3,Model 40,1600,1,1526,10/1/2020,,
36,Lucknow,Brand 8,Model 49,1350,1,1350,9/29/2020,Feature1_23,
37,Lucknow,Brand 4,Model 4,850,1,14500,9/30/2020,Feature1_3,Feature2_2
11,Ludhiana,Brand 2,Model 78,1200,1,1200,10/1/2020,Feature1_4,
38,Lucknow,Brand 4,Model 46,1400,1,14500,10/1/2020,Feature1_3,Feature2_2
12,Ludhiana,Brand 1,Model 29,1350,1,990,10/1/2020,Feature1_4,
3,Chennai,Brand 8,Model 42,15000,1,14990,10/1/2020,Feature1_1,Feature2_2
4,Chennai,Brand 6,Model 79,20000,1,24600,9/30/2020,Feature1_9,Feature2_3
5,Chennai,Brand 5,Model 364,21000,1,21000,10/1/2020,Feature1_3,Feature2_3
343,Kolkata,Brand 2,Model 11,20300,1,20300,10/1/2020,Feature1_5,Feature2_3
58,Kolkata,Brand 1,Model 5,11999,1,11000,10/1/2020,Feature1_3,Feature2_2
73,Thiruvananthapuram,Brand 7,Model 366,1299,1,1299,10/1/2020,Feature1_4,
56,Lucknow,Brand 1,Model 75,1500,1,1410,10/1/2020,Feature1_6,
25,Lucknow,Brand 5,Model 230,1250,1,1249,9/29/2020,Feature1_16,
2422,Delhi,Brand 4,Model 46,1300,1,1300,10/1/2020,,
26,Lucknow,Brand 1,Model 98,900,1,14500,9/30/2020,Feature1_3,Feature2_2
27,Lucknow,Brand 5,Model 90,1400,1,1400,10/1/2020,Feature1_16,
2112,Kolkata,Brand 8,Model 49,1150,1,1150,10/1/2020,Feature1_6,
58,Kolkata,Brand 9,Model 367,1300,1,11000,10/1/2020,Feature1_3,Feature2_2
8,Chennai,Brand 8,Model 203,1200,1,1200,10/1/2020,Feature1_6,
40,Delhi,Brand 4,Model 231,1600,1,1526,10/1/2020,,
41,Delhi,Brand 8,Model 214,1200,1,1099,10/1/2020,Feature1_6,
9,Chennai,Brand 4,Model 34,1600,1,1499,9/27/2020,,
44,Delhi,Brand 2,Model 11,1600,1,1526,10/1/2020,,
46,Delhi,Brand 1,Model 276,1600,1,1399,10/1/2020,Feature1_16,
445,Lucknow,Brand 1,Model 68,8990,1,8990,10/1/2020,Feature1_8,Feature2_1
28,Delhi,Brand 1,Model 23,950,1,950,10/1/2020,Feature1_4,
49,Delhi,Brand 1,Model 5,2400,1,4996,10/1/2020,Feature1_10,Feature2_5
52,Delhi,Brand 1,Model 32,1499,1,1499,10/1/2020,Feature1_4,
53,Delhi,Brand 6,Model 72,1499,1,1499,9/30/2020,Feature1_4,
14,Ludhiana,Brand 9,Model 228,16000,1,16000,10/1/2020,Feature1_5,Feature2_3
15,Ludhiana,Brand 7,Model 232,1300,1,1300,10/1/2020,Feature1_4,
6700542,Kolkata,Brand 8,Model 56,19499,1,19499,10/1/2020,Feature1_9,Feature2_3
6700543,Kolkata,Brand 5,Model 578,1500,1,1700,10/2/2020,Feature1_17,
210,Delhi,Brand 5,Model 185,24990,1,24990,10/2/2020,Feature1_5,Feature2_3
1,Lucknow,Brand 4,Model 66,9000,1,9000,10/1/2020,Feature1_8,Feature2_1
2,Lucknow,Brand 8,Model 30,1500,1,1879,10/2/2020,,
1,Ludhiana,Brand 10,Model 145,1150,1,1150,10/1/2020,Feature1_15,
29,Lucknow,Brand 10,Model 148,1600,1,14500,10/1/2020,Feature1_3,Feature2_2
30,Lucknow,Brand 2,Model 15,1800,1,1800,10/2/2020,Feature1_24,
31,Lucknow,Brand 6,Model 80,9500,1,9500,10/2/2020,Feature1_8,Feature2_4
21,Kolkata,Brand 9,Model 138,1500,1,11000,9/27/2020,Feature1_3,Feature2_2
122,Delhi,Brand 2,Model 18,6200,1,6200,10/2/2020,Feature1_8,Feature2_1
6700544,Kolkata,Brand 6,Model 233,12990,1,12990,10/2/2020,Feature1_3,Feature2_2
4,Ludhiana,Brand 3,Model 196,1150,1,1099,10/2/2020,Feature1_22,
7,Lucknow,Brand 1,Model 300,1460,1,1460,10/1/2020,Feature1_4,
3,Delhi,Brand 10,Model 124,12990,1,12990,10/2/2020,Feature1_3,Feature2_2
211,Delhi,Brand 10,Model 97,1500,1,1500,10/2/2020,Feature1_2,
3,Ludhiana,Brand 1,Model 32,1100,1,1245,10/1/2020,Feature1_15,
6,Ludhiana,Brand 1,Model 105,1200,1,1200,10/2/2020,Feature1_15,
39,Delhi,Brand 10,Model 579,1200,1,1200,10/2/2020,Feature1_19,
9,Ludhiana,Brand 4,Model 46,999,1,999,10/2/2020,Feature1_4,
40,Delhi,Brand 3,Model 22,1600,1,1526,10/1/2020,,
12,Kolkata,Brand 9,Model 352,1499,1,11000,9/29/2020,Feature1_3,Feature2_2
2,Delhi,Brand 10,Model 43,19980,1,9990,10/2/2020,Feature1_1,Feature2_1
3,Ludhiana,Brand 2,Model 20,1050,1,1245,10/2/2020,Feature1_15,
49,Lucknow,Brand 1,Model 126,1050,1,1050,10/1/2020,Feature1_6,
23,Chennai,Brand 8,Model 131,11990,1,11990,10/2/2020,Feature1_3,Feature2_2
50,Lucknow,Brand 4,Model 44,1450,1,1450,10/2/2020,Feature1_4,
24,Chennai,Brand 1,Model 64,14490,1,14490,10/1/2020,Feature1_3,Feature2_2
51,Lucknow,Brand 9,Model 326,1350,1,14500,9/30/2020,Feature1_3,Feature2_2
25,Chennai,Brand 1,Model 24,8590,1,8590,9/30/2020,Feature1_8,Feature2_1
52,Lucknow,Brand 8,Model 49,1250,1,1250,9/29/2020,Feature1_6,
53,Lucknow,Brand 1,Model 64,1250,1,1399,9/28/2020,Feature1_16,
54,Lucknow,Brand 1,Model 64,850,1,849,9/27/2020,Feature1_11,
28,Chennai,Brand 5,Model 195,9990,1,9990,9/27/2020,Feature1_1,Feature2_1
212,Delhi,Brand 5,Model 185,7990,1,7990,10/2/2020,Feature1_8,Feature2_1
4,Chennai,Brand 1,Model 53,1650,1,1499,9/30/2020,,
16,Kolkata,Brand 6,Model 234,1300,1,11000,9/30/2020,Feature1_3,Feature2_2
24,Chennai,Brand 8,Model 135,18570,1,18570,10/2/2020,Feature1_3,Feature2_3
25,Chennai,Brand 7,Model 584,14490,1,14490,10/1/2020,Feature1_3,Feature2_2
26,Chennai,Brand 6,Model 149,8590,1,8590,9/30/2020,Feature1_8,Feature2_1
27,Chennai,Brand 1,Model 50,18990,1,18990,9/29/2020,Feature1_5,Feature2_3
50,Lucknow,Brand 1,Model 63,1150,1,14500,9/27/2020,Feature1_3,Feature2_2
28,Chennai,Brand 6,Model 80,11990,1,11990,9/28/2020,Feature1_3,Feature2_2
2065,Delhi,Brand 1,Model 51,5050,1,5050,10/2/2020,Feature1_10,Feature2_4
51,Lucknow,Brand 3,Model 25,1250,1,1250,9/28/2020,Feature1_6,
29,Chennai,Brand 4,Model 13,11990,1,11990,9/28/2020,Feature1_3,Feature2_2
52,Lucknow,Brand 3,Model 370,1200,1,14500,9/29/2020,Feature1_3,Feature2_2
53,Lucknow,Brand 5,Model 90,800,1,14500,9/30/2020,Feature1_3,Feature2_2
54,Lucknow,Brand 4,Model 41,1100,1,1099,10/1/2020,Feature1_6,
39,Lucknow,Brand 5,Model 285,1600,1,1410,10/1/2020,Feature1_6,
40,Lucknow,Brand 1,Model 32,1600,1,1410,10/1/2020,Feature1_6,
41,Lucknow,Brand 7,Model 143,1500,1,1410,10/2/2020,Feature1_6,
42,Lucknow,Brand 1,Model 65,950,1,14500,10/2/2020,Feature1_3,Feature2_2
55,Lucknow,Brand 1,Model 335,1350,1,14500,10/2/2020,Feature1_3,Feature2_2
60,Thiruvananthapuram,Brand 5,Model 181,1699,1,1699,10/2/2020,Feature1_17,
63,Thiruvananthapuram,Brand 5,Model 117,2000,1,2000,10/2/2020,Feature1_4,
65,Thiruvananthapuram,Brand 7,Model 212,1039,1,1039,10/1/2020,Feature1_14,
14,Chennai,Brand 7,Model 139,8590,1,8590,10/1/2020,Feature1_8,Feature2_1
18,Chennai,Brand 8,Model 96,6000,1,7499,10/2/2020,Feature1_1,Feature2_1
66,Thiruvananthapuram,Brand 8,Model 129,1549,1,1549,10/1/2020,Feature1_23,
15,Chennai,Brand 6,Model 62,7990,1,7990,9/30/2020,Feature1_8,Feature2_1
37,Lucknow,Brand 4,Model 87,1650,1,1410,10/1/2020,Feature1_6,
39,Lucknow,Brand 7,Model 236,1650,1,1410,10/2/2020,Feature1_6,
20,Chennai,Brand 9,Model 306,1670,1,1410,9/30/2020,Feature1_6,
16,Chennai,Brand 4,Model 95,9999,1,9999,9/29/2020,Feature1_8,Feature2_1
51,Lucknow,Brand 9,Model 317,1650,1,1410,10/1/2020,Feature1_6,
52,Lucknow,Brand 8,Model 30,1650,1,1410,10/2/2020,Feature1_6,
17,Chennai,Brand 4,Model 34,8590,1,8590,9/28/2020,Feature1_8,Feature2_1
53,Lucknow,Brand 1,Model 26,1650,1,1410,10/1/2020,Feature1_6,
18,Chennai,Brand 5,Model 237,8990,1,8990,9/27/2020,Feature1_1,Feature2_1
20,Lucknow,Brand 9,Model 225,800,1,14500,10/1/2020,Feature1_3,Feature2_2
21,Lucknow,Brand 2,Model 93,16000,1,16000,10/2/2020,Feature1_3,Feature2_3
33,Lucknow,Brand 7,Model 119,1650,1,1410,10/1/2020,Feature1_6,
34,Lucknow,Brand 7,Model 278,950,1,14500,10/2/2020,Feature1_3,Feature2_2
35,Lucknow,Brand 10,Model 337,1650,1,1410,10/2/2020,Feature1_6,
11,Lucknow,Brand 8,Model 56,1500,1,1500,10/2/2020,,
58,Lucknow,Brand 6,Model 67,1400,1,1400,10/1/2020,Feature1_16,
12,Lucknow,Brand 1,Model 104,2300,1,2150,10/1/2020,,
61,Lucknow,Brand 6,Model 233,800,1,14500,9/29/2020,Feature1_3,Feature2_2
13,Lucknow,Brand 1,Model 588,23000,1,23000,10/2/2020,Feature1_9,Feature2_2
62,Lucknow,Brand 1,Model 589,1250,1,1549,9/28/2020,,
2115,Kolkata,Brand 1,Model 238,5200,1,5200,10/2/2020,Feature1_10,Feature2_4
37,Thiruvananthapuram,Brand 6,Model 61,1410,1,1410,10/1/2020,Feature1_6,
38,Thiruvananthapuram,Brand 2,Model 590,1662,1,1662,10/1/2020,,
28,Lucknow,Brand 2,Model 8,1200,1,14500,10/1/2020,Feature1_3,Feature2_2
29,Lucknow,Brand 10,Model 334,800,1,14500,10/2/2020,Feature1_3,Feature2_2
62,Lucknow,Brand 5,Model 123,1150,1,14500,9/27/2020,Feature1_3,Feature2_2
63,Lucknow,Brand 5,Model 130,1750,1,1750,9/28/2020,Feature1_24,
67,Lucknow,Brand 10,Model 133,1350,1,1350,10/2/2020,Feature1_6,
47,Lucknow,Brand 7,Model 593,800,1,14500,10/1/2020,Feature1_3,Feature2_2
48,Lucknow,Brand 1,Model 188,900,1,14500,10/2/2020,Feature1_3,Feature2_2
21,Kolkata,Brand 5,Model 374,11500,1,11500,10/2/2020,Feature1_3,Feature2_3
2,Chennai,Brand 6,Model 125,9499,1,9499,10/2/2020,Feature1_1,Feature2_1
4,Chennai,Brand 3,Model 200,8590,1,8590,9/30/2020,Feature1_8,Feature2_1
5,Chennai,Brand 9,Model 356,7499,1,7499,9/29/2020,Feature1_8,Feature2_4
2066,Delhi,Brand 9,Model 217,1200,1,1200,10/2/2020,Feature1_6,
37,Lucknow,Brand 1,Model 105,1200,1,14500,10/1/2020,Feature1_3,Feature2_2
38,Lucknow,Brand 5,Model 594,820,1,14500,10/2/2020,Feature1_3,Feature2_2
7,Chennai,Brand 1,Model 70,14499,1,14499,9/27/2020,Feature1_3,Feature2_2
214,Delhi,Brand 1,Model 104,2400,1,2400,10/2/2020,Feature1_18,
215,Delhi,Brand 6,Model 17,1800,1,1800,10/2/2020,Feature1_16,
216,Delhi,Brand 6,Model 80,1450,1,1399,10/2/2020,Feature1_16,
218,Delhi,Brand 1,Model 53,1250,1,1250,10/2/2020,Feature1_6,
22,Lucknow,Brand 6,Model 17,11241,1,11241,10/2/2020,Feature1_1,Feature2_2
39,Kolkata,Brand 4,Model 87,1300,1,11000,10/1/2020,Feature1_3,Feature2_2
40,Kolkata,Brand 3,Model 40,1400,1,11000,10/2/2020,Feature1_3,Feature2_2
62,Lucknow,Brand 8,Model 42,1250,1,14500,9/27/2020,Feature1_3,Feature2_2
18,Kolkata,Brand 3,Model 116,1500,1,11000,10/1/2020,Feature1_3,Feature2_2
63,Lucknow,Brand 7,Model 71,1300,1,14500,9/28/2020,Feature1_3,Feature2_2
65,Lucknow,Brand 5,Model 146,800,1,14500,9/30/2020,Feature1_3,Feature2_2
6700545,Kolkata,Brand 6,Model 240,1200,1,11000,10/2/2020,Feature1_3,Feature2_2
66,Lucknow,Brand 6,Model 52,1050,1,14500,10/1/2020,Feature1_3,Feature2_2
67,Lucknow,Brand 5,Model 597,1100,1,14500,10/2/2020,Feature1_3,Feature2_2
1164,Delhi,Brand 9,Model 377,12990,1,12990,10/2/2020,Feature1_3,Feature2_2
2067,Delhi,Brand 3,Model 378,7500,1,7500,10/2/2020,Feature1_8,Feature2_1
1165,Delhi,Brand 8,Model 135,1200,1,1200,10/2/2020,,
53,Delhi,Brand 7,Model 329,12000,1,12000,10/2/2020,Feature1_1,Feature2_2
54,Delhi,Brand 10,Model 598,900,1,900,10/1/2020,Feature1_4,
1166,Delhi,Brand 3,Model 379,11500,1,11500,10/2/2020,Feature1_1,Feature2_2
55,Delhi,Brand 7,Model 380,850,1,850,9/29/2020,Feature1_16,
56,Delhi,Brand 7,Model 381,8000,1,8000,9/29/2020,Feature1_8,Feature2_1
57,Delhi,Brand 9,Model 122,850,1,850,9/28/2020,Feature1_4,
3,Lucknow,Brand 4,Model 13,900,1,900,10/3/2020,Feature1_6,
33,Lucknow,Brand 3,Model 150,1650,1,1410,10/2/2020,Feature1_6,
34,Lucknow,Brand 2,Model 81,1650,1,1410,10/1/2020,Feature1_6,
56,Lucknow,Brand 5,Model 599,950,1,14500,10/1/2020,Feature1_3,Feature2_2
34,Kolkata,Brand 3,Model 37,1420,1,11000,10/2/2020,Feature1_3,Feature2_2
57,Lucknow,Brand 8,Model 600,950,1,14500,10/2/2020,Feature1_3,Feature2_2
58,Lucknow,Brand 4,Model 382,900,1,14500,10/2/2020,Feature1_3,Feature2_2
1,Lucknow,Brand 1,Model 32,1600,1,1410,10/1/2020,Feature1_6,
16,Chennai,Brand 8,Model 49,8590,1,8590,10/2/2020,Feature1_8,Feature2_1
39,Lucknow,Brand 4,Model 73,1050,1,1050,10/1/2020,Feature1_6,
40,Lucknow,Brand 2,Model 3,1400,1,1400,10/2/2020,Feature1_6,
155,Delhi,Brand 2,Model 1,1000,1,1000,10/2/2020,Feature1_4,
54,Thiruvananthapuram,Brand 4,Model 33,1579,1,1579,10/2/2020,Feature1_4,
17,Chennai,Brand 2,Model 2,9499,1,9499,10/1/2020,Feature1_1,Feature2_1
41,Lucknow,Brand 2,Model 18,840,1,14500,9/30/2020,Feature1_3,Feature2_2
55,Thiruvananthapuram,Brand 4,Model 34,1327,1,1327,10/2/2020,Feature1_16,
219,Delhi,Brand 10,Model 151,1250,1,1250,10/2/2020,Feature1_6,
56,Thiruvananthapuram,Brand 1,Model 383,1099,1,1099,10/2/2020,Feature1_6,
63,Ludhiana,Brand 1,Model 70,10500,1,9990,10/2/2020,Feature1_1,Feature2_1
58,Thiruvananthapuram,Brand 2,Model 7,1039,1,1039,10/2/2020,Feature1_14,
64,Ludhiana,Brand 2,Model 3,18000,1,18000,9/28/2020,Feature1_9,Feature2_3
65,Ludhiana,Brand 2,Model 3,13000,1,13000,9/28/2020,Feature1_3,Feature2_2
156,Delhi,Brand 2,Model 7,1050,1,1050,10/2/2020,Feature1_4,
66,Ludhiana,Brand 7,Model 120,18000,1,18000,9/28/2020,Feature1_9,Feature2_3
60,Thiruvananthapuram,Brand 9,Model 601,1750,1,1662,10/1/2020,Feature1_16,
2423,Delhi,Brand 2,Model 1,1700,1,1590,10/2/2020,Feature1_2,
67,Ludhiana,Brand 5,Model 387,15500,1,15500,9/29/2020,Feature1_3,Feature2_3
61,Thiruvananthapuram,Brand 1,Model 323,2050,1,2050,10/1/2020,,
68,Ludhiana,Brand 9,Model 324,8500,1,8500,9/29/2020,Feature1_8,Feature2_1
69,Ludhiana,Brand 5,Model 602,12000,1,12000,9/30/2020,Feature1_1,Feature2_2
351,Kolkata,Brand 1,Model 24,5000,1,5000,10/2/2020,Feature1_10,Feature2_4
62,Thiruvananthapuram,Brand 1,Model 241,600,1,699,10/2/2020,Feature1_11,
65,Thiruvananthapuram,Brand 7,Model 153,2099,1,1949,10/2/2020,Feature1_16,
423,Kolkata,Brand 2,Model 7,9499,1,9499,10/2/2020,Feature1_1,Feature2_1
37,Kanpur,Brand 5,Model 389,11500,1,11500,9/27/2020,Feature1_3,Feature2_2
71,Thiruvananthapuram,Brand 5,Model 603,1099,1,1099,10/1/2020,Feature1_6,
157,Delhi,Brand 5,Model 142,1250,4,4999.99,10/2/2020,Feature1_6,
38,Delhi,Brand 5,Model 146,1600,1,1526,10/2/2020,,
39,Delhi,Brand 2,Model 7,1200,1,1200,10/1/2020,,
1168,Delhi,Brand 8,Model 154,2100,1,1949,10/2/2020,Feature1_16,
22,Delhi,Brand 8,Model 390,1600,1,1526,10/2/2020,,
40,Kanpur,Brand 1,Model 308,11000,1,11000,10/1/2020,Feature1_1,Feature2_2
64,Kolkata,Brand 5,Model 142,10700,1,10700,10/2/2020,Feature1_3,Feature2_2
1169,Delhi,Brand 1,Model 29,1450,1,1450,10/2/2020,Feature1_4,
11,Chennai,Brand 2,Model 69,3500,1,1599,9/27/2020,Feature1_4,
424,Kolkata,Brand 6,Model 61,1200,1,1200,10/2/2020,,
1171,Delhi,Brand 2,Model 81,1250,1,1250,10/2/2020,Feature1_16,
419,Kolkata,Brand 1,Model 70,4200,1,11000,10/2/2020,Feature1_3,Feature2_2
420,Kolkata,Brand 2,Model 2,1800,1,11000,10/2/2020,Feature1_3,Feature2_2
9,Chennai,Brand 9,Model 155,36000,1,36000,10/2/2020,Feature1_1,Feature2_1
3,Chennai,Brand 5,Model 605,14499,1,14499,10/2/2020,Feature1_3,Feature2_2
10,Chennai,Brand 5,Model 211,40000,1,35000,9/30/2020,Feature1_10,Feature2_4
4,Chennai,Brand 5,Model 213,8590,1,8590,10/1/2020,Feature1_8,Feature2_1
11,Chennai,Brand 5,Model 374,15000,1,14990,9/27/2020,Feature1_1,Feature2_1
12,Chennai,Brand 2,Model 2,16000,1,15974,10/2/2020,Feature1_3,Feature2_2
352,Kolkata,Brand 1,Model 70,7300,1,7300,10/2/2020,Feature1_8,Feature2_1
6700547,Kolkata,Brand 3,Model 108,19990,1,19990,10/2/2020,Feature1_5,Feature2_3
6700548,Kolkata,Brand 6,Model 109,13990,1,13990,10/2/2020,Feature1_9,Feature2_2
3,Delhi,Brand 1,Model 393,10000,1,9999,10/2/2020,Feature1_1,Feature2_2
2,Delhi,Brand 1,Model 394,1300,1,1249,10/2/2020,Feature1_4,
29,Delhi,Brand 1,Model 606,1650,1,1650,10/3/2020,,
61,Lucknow,Brand 1,Model 607,9990,1,9990,10/1/2020,Feature1_8,Feature2_1
62,Ahmedabad,Brand 1,Model 63,1450,1,1450,10/3/2020,,
4,Ludhiana,Brand 2,Model 16,1300,1,1300,10/2/2020,,
21,Chennai,Brand 2,Model 82,14490,1,14490,10/2/2020,Feature1_3,Feature2_2
219,Delhi,Brand 2,Model 82,1500,2,3000,10/3/2020,,
22,Chennai,Brand 10,Model 156,16490,1,16490,10/1/2020,Feature1_3,Feature2_2
220,Delhi,Brand 8,Model 183,800,1,799,10/3/2020,Feature1_11,
23,Chennai,Brand 2,Model 2,18990,1,18990,9/30/2020,Feature1_5,Feature2_3
45,Lucknow,Brand 3,Model 25,950,1,14500,10/1/2020,Feature1_3,Feature2_2
46,Lucknow,Brand 5,Model 398,1600,1,1410,10/2/2020,Feature1_6,
47,Lucknow,Brand 3,Model 608,1500,1,1410,10/1/2020,Feature1_6,
49,Lucknow,Brand 1,Model 609,1500,1,1410,10/2/2020,Feature1_6,
221,Delhi,Brand 10,Model 611,16990,1,16990.01,10/3/2020,Feature1_5,Feature2_3
50,Lucknow,Brand 5,Model 612,850,1,850,10/3/2020,Feature1_11,
424,Kolkata,Brand 10,Model 613,4000,1,11000,10/3/2020,Feature1_3,Feature2_2
2,Delhi,Brand 5,Model 244,1600,1,1410,10/3/2020,Feature1_6,
1,Lucknow,Brand 4,Model 87,11000,1,11000,10/1/2020,Feature1_1,Feature2_1
97,Delhi,Brand 9,Model 311,12990,1,12990,10/2/2020,Feature1_3,Feature2_2
3,Delhi,Brand 2,Model 81,1600,1,1526,10/1/2020,,
53,Thiruvananthapuram,Brand 2,Model 18,2000,1,2000,10/3/2020,Feature1_4,
98,Delhi,Brand 5,Model 614,900,1,1099,9/27/2020,Feature1_4,
3,Lucknow,Brand 9,Model 616,850,1,14500,10/3/2020,Feature1_3,Feature2_2
62,Hyderabad,Brand 1,Model 70,10900,1,10900,9/27/2020,Feature1_3,Feature2_2
